sim_index,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,dominant_theta,gene
31,41.94475739,57.08564131,57.09478795,49.48460727,44.39837444,49.95460091,52.99843178,54.0600031,51.10700968,50.09602784,0.032929508,0.191334433,0.378846758,0.143198201,0.128350365,0.125340735,theta_2,NCU02359
32,43.27721845,59.05556407,48.06624943,49.57208761,56.36444012,49.8619585,50.81235259,50.11641591,53.9062704,48.49083503,0.139434938,0.190866235,0.141220955,0.188446291,0.176126236,0.163905345,theta_1,NCU02789
33,30.5510285,53.72238774,49.28851546,48.8267998,56.41787952,49.94254338,47.0870633,49.2574235,62.83767223,49.0748083,0.366910821,0.130151617,0.127389719,0.141551981,0.126526397,0.107469465,theta_0,NCU03370
34,56.40738359,48.75674195,34.5621517,49.58333271,57.00992339,50.54674145,43.67059839,44.31319387,61.96659711,50.51762315,0.410291242,0.11002554,0.081963859,0.133720144,0.138480185,0.12551903,theta_0,NCU08011
35,57.35123312,40.05176847,26.10209695,48.78866171,59.46877472,49.62935032,45.89081847,42.58414866,62.73087503,51.34635903,0.380845138,0.115382702,0.06891281,0.145234938,0.139974914,0.149649498,theta_0,NCU07409
36,28.54500054,63.6951051,43.25850867,50.16265043,49.03006715,50.13962325,43.10131316,45.95751289,50.8254934,49.5606845,0.130151294,0.078495363,0.025313101,0.211192325,0.257158964,0.297688952,theta_5,NCU02905
37,54.35220617,51.42912458,53.6576836,48.68546322,60.17181593,50.0603026,53.14553617,50.6990277,53.19679852,50.70293835,0.19827785,0.152229783,0.136339146,0.15504069,0.166997434,0.191115097,theta_0,NCU03601
38,63.91417545,33.14006564,40.11779601,50.85891141,58.7094315,50.15441495,46.69225863,51.71966189,60.10809901,49.58292674,0.102969235,0.180649141,0.150987706,0.188393574,0.191986023,0.185014321,theta_4,NCU00721
39,25.27712758,50.51158881,49.87033085,49.47511078,61.60300073,49.08041337,46.57892927,45.81244816,54.92345217,51.1713711,0.316335102,0.066241159,0.020535185,0.163878612,0.189092656,0.243917285,theta_0,NCU02003
40,42.35299221,5.847673326,36.65483597,49.75821364,63.69430395,50.20997804,44.38288349,38.13416051,64.13132089,50.73012762,0.745677414,0.044947604,0.030320002,0.06048276,0.064923689,0.053648531,theta_0,NCU01542
41,38.34807592,58.26822845,40.4789262,49.38890991,45.78597999,49.76440481,45.6040422,49.19012576,55.49766568,49.7199849,0.222576407,0.145380871,0.116424723,0.159793134,0.170242098,0.185582767,theta_0,NCU07590
42,65.14444967,28.8921688,34.19056175,50.56736004,61.96284314,50.19881484,46.9978875,47.97391542,61.73437623,50.62050384,0.15286363,0.17505588,0.190860097,0.170477094,0.159508181,0.151235118,theta_2,NCU03934
43,49.04900298,21.45862465,43.51464726,50.18481497,60.48885816,49.72838277,46.00438711,41.15696397,62.69134709,49.87470146,0.659339137,0.071427133,0.060914228,0.066774038,0.069317494,0.072227969,theta_0,NCU00115
44,38.43433345,29.17592588,38.45114575,50.60999991,54.90794053,49.85660655,44.37610177,48.41003483,60.69043914,50.25478897,0.539071064,0.052512195,0.021220023,0.107467318,0.131532991,0.14819641,theta_0,NCU07776
45,5.796801057,63.98580037,65.36165807,49.81273469,42.35926625,50.61774858,56.35203907,51.65322002,43.93033251,50.64238205,0.00088445,0.058127234,0.008624425,0.469952229,0.256248369,0.206163294,theta_3,NCU00193
46,48.43033688,50.1045818,51.6131769,50.35962506,52.52141351,51.12536594,54.04975569,50.6990226,57.09438697,49.73633095,0.028169591,0.17559199,0.394141205,0.139999225,0.137609516,0.124488473,theta_2,NCU02262
47,23.16813392,61.20711791,45.47181546,50.2146775,49.25897547,48.62450742,46.87998014,46.17020755,54.94648559,49.97776076,0.098178205,0.158378911,0.068451758,0.235912451,0.219075441,0.220003234,theta_3,NCU05596
48,61.34717507,27.249846,40.75103759,51.15108626,46.856433,48.40622048,51.39272484,53.94977164,53.66385063,50.04612955,0.511007927,0.086483637,0.159512835,0.079677513,0.084386233,0.078931855,theta_0,NCU03674
49,66.90593362,25.31166614,43.43814786,50.57556818,53.21347407,49.37875374,45.30857609,45.44642843,56.1316358,50.67329754,0.424315952,0.112681397,0.100234013,0.121059904,0.11753825,0.124170484,theta_0,NCU04881
50,63.7471702,30.3282153,52.88530347,50.45905138,58.05084397,49.96168458,45.66371636,46.82766261,56.69608752,50.60732073,0.195848685,0.164666477,0.153474859,0.161584411,0.161186896,0.163238672,theta_0,NCU09419
51,54.74162509,50.22247518,1.658140859,51.66150473,6.165606897,50.22900711,34.4329457,34.30524219,66.70907815,50.0096083,0.227217675,0.144136262,0.126488481,0.167762257,0.167366199,0.167029127,theta_0,NCU05832
